CountryName,CountryNumber
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zimbabwe,716
Zambia,894
Zambia,894
Zambia,894
Zambia,894
Zambia,894
Zambia,894
Zambia,894
Zambia,894
Yemen,887
Yemen,887
Yemen,887
Yemen,887
Yemen,887
Yemen,887
Yemen,887
Yemen,887
Western Sahara,732
Western Sahara,732
Western Sahara,732
Western Sahara,732
Western Sahara,732
Western Sahara,732
Western Sahara,732
Western Sahara,732
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
Wallis and Futuna Islands,876
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
"Virgin Islands, US",850
Viet Nam,704
Viet Nam,704
Viet Nam,704
Viet Nam,704
Viet Nam,704
Viet Nam,704
Viet Nam,704
Viet Nam,704
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Venezuelaÿ(Bolivarian Republic),862
Vanuatu,548
Vanuatu,548
Vanuatu,548
Vanuatu,548
Vanuatu,548
Vanuatu,548
Vanuatu,548
Vanuatu,548
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uzbekistan,860
Uruguay,858
Uruguay,858
Uruguay,858
Uruguay,858
Uruguay,858
Uruguay,858
Uruguay,858
Uruguay,858
United States of America,840
United States of America,840
United States of America,840
United States of America,840
United States of America,840
United States of America,840
United States of America,840
United States of America,840
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Kingdom,826
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
United Arab Emirates,784
Ukraine,804
Ukraine,804
Ukraine,804
Ukraine,804
Ukraine,804
Ukraine,804
Ukraine,804
Ukraine,804
Uganda,800
Uganda,800
Uganda,800
Uganda,800
Uganda,800
Uganda,800
Uganda,800
Uganda,800
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
US Minor Outlying Islands,581
Tuvalu,798
Tuvalu,798
Tuvalu,798
Tuvalu,798
Tuvalu,798
Tuvalu,798
Tuvalu,798
Tuvalu,798
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turks and Caicos Islands,796
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkmenistan,795
Turkey,792
Turkey,792
Turkey,792
Turkey,792
Turkey,792
Turkey,792
Turkey,792
Turkey,792
Tunisia,788
Tunisia,788
Tunisia,788
Tunisia,788
Tunisia,788
Tunisia,788
Tunisia,788
Tunisia,788
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Trinidad and Tobago,780
Tonga,776
Tonga,776
Tonga,776
Tonga,776
Tonga,776
Tonga,776
Tonga,776
Tonga,776
Tokelau,772
Tokelau,772
Tokelau,772
Tokelau,772
Tokelau,772
Tokelau,772
Tokelau,772
Tokelau,772
Togo,768
Togo,768
Togo,768
Togo,768
Togo,768
Togo,768
Togo,768
Togo,768
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Timor-Leste,626
Thailand,764
Thailand,764
Thailand,764
Thailand,764
Thailand,764
Thailand,764
